class_type,wristX,wristY,wristZ,thumb_CmcX,thumb_CmcY,thumb_CmcZ,thumb_McpX,thumb_McpY,thumb_McpZ,thumb_IpX,thumb_IpY,thumb_IpZ,thumb_TipX,thumb_TipY,thumb_TipZ,index_McpX,index_McpY,index_McpZ,index_PipX,index_PipY,index_PipZ,index_DipX,index_DipY,index_DipZ,index_TipX,index_TipY,index_TipZ,middle_McpX,middle_McpY,middle_McpZ,middle_PipX,middle_PipY,middle_PipZ,middle_DipX,middle_DipY,middle_DipZ,middle_TipX,middle_TipY,middle_TipZ,ring_McpX,ring_McpY,ring_McpZ,ring_PipX,ring_PipY,ring_PipZ,ring_DipX,ring_DipY,ring_DipZ,ring_TipX,ring_TipY,ring_TipZ,pinky_McpX,pinky_McpY,pinky_McpZ,pinky_PipX,pinky_PipY,pinky_PipZ,pinky_DipX,pinky_DipY,pinky_DipZ,pinky_TipX,pinky_TipY,pinky_TipZ
A,177.642716050148,242.1433620452881,-7.409717284190265e-08,260.59241771698,253.72173690795898,0.017771584913134575,317.4779050350189,225.122700214386,0.03682786598801613,338.6655623912811,184.16895258426666,0.05616775155067444,326.90668177604675,160.9860155582428,0.07767853140830994,297.67729568481445,168.03515529632568,0.026181276887655258,320.4605121612549,145.3324271440506,0.05274023488163948,309.87058448791504,164.6558256149292,0.06480246037244797,298.61115288734436,183.06784582138062,0.06956712901592255,254.39234852790833,145.50139844417572,0.025018315762281418,278.6504337787628,138.38330483436584,0.06947214901447296,275.42211151123047,158.93415927886963,0.07633252441883087,268.06948804855347,176.39834368228912,0.06891690194606781,215.8781135082245,137.82507586479187,0.02863825112581253,242.96168208122253,137.0000855922699,0.07542214542627335,244.1596999168396,155.6826115846634,0.08210629969835281,237.93981266021729,171.46298265457153,0.07161280512809753,183.37321984767914,138.7100260257721,0.033644601702690125,208.9666407108307,138.94852912425995,0.07428619265556335,209.38503551483154,153.48939204216003,0.09628437459468842,205.61844682693481,165.76853907108307,0.10488136112689972
A,185.26338028907776,308.72979402542114,-1.9772007817664417e-06,122.22231316566467,284.73705995082855,-0.04750596359372139,80.38014933466911,242.46556329727173,-0.07381566613912582,79.0783303976059,193.58110707998276,-0.10174790769815445,96.4130973815918,158.935926258564,-0.11817872524261475,131.54640966653824,191.85802215337753,-0.03434735909104347,131.0037595629692,158.31728118658066,-0.10273469239473343,131.37229758501053,202.64412939548492,-0.12862026691436768,135.64434909820557,219.7540818452835,-0.13941296935081482,176.1197366118431,193.75635814666748,-0.045485176146030426,172.46362948417664,161.70868581533432,-0.124366894364357,164.91798198223114,212.3407210111618,-0.1355382800102234,168.01367318630219,225.74652934074402,-0.1291227787733078,217.16795146465302,200.44069802761078,-0.06643867492675781,212.51786255836487,166.8862070441246,-0.14578764140605927,200.47909474372864,216.2522543668747,-0.11280642449855804,201.36320555210114,227.49835896492004,-0.07390035688877106,258.4461121559143,212.67356300354004,-0.09145601093769073,250.86732840538025,180.51227396726608,-0.13099218904972076,235.06267642974854,215.9958300590515,-0.09490932524204254,231.37210619449615,230.5159651041031,-0.059789057821035385
A,177.60043144226074,310.8039939403534,-1.270537836717267e-06,241.2488305568695,283.3527958393097,-0.062120743095874786,286.2801420688629,238.17969679832458,-0.08143352717161179,283.6428940296173,192.78279542922974,-0.09507972002029419,270.57425141334534,159.4831109046936,-0.09442464262247086,235.04972577095032,195.98970770835876,-0.05125616118311882,236.4090061187744,156.84919238090515,-0.12315060198307037,236.43532514572144,205.75066924095154,-0.1491939276456833,233.20392847061157,220.87579727172852,-0.15907292068004608,191.00648760795593,199.85475420951843,-0.046582285314798355,195.36991953849792,166.73835158348083,-0.12431006133556366,202.59211421012878,222.50866413116455,-0.13540606200695038,198.56750011444092,228.26306343078613,-0.13290543854236603,152.07615077495575,208.28443050384521,-0.05225576460361481,157.6087862253189,174.00428295135498,-0.13426150381565094,168.84762227535248,226.75583481788635,-0.10328007489442825,165.7218074798584,233.32095980644226,-0.0683160349726677,111.43879175186157,220.52733063697815,-0.062030963599681854,119.4849169254303,191.8332040309906,-0.1064034029841423,135.67995190620422,226.2880039215088,-0.07454108446836472,135.72278261184692,237.39304780960083,-0.043742142617702484
A,161.8637297153473,240.02523744106293,-1.631681811886665e-07,248.0666539669037,249.61755061149597,0.030826494097709656,304.3044681549072,219.77960884571075,0.05402883142232895,330.5740747451782,182.22497135400772,0.07456588745117188,315.3126690387726,158.83602315187454,0.09601972997188568,285.940833568573,163.87490057945251,0.048263657838106155,305.8724012374878,140.50606215000153,0.08642300218343735,294.10750663280487,163.6068912744522,0.10112196207046509,283.25410985946655,182.24838435649872,0.10607703775167465,243.14167141914368,142.9712274670601,0.04399792104959488,261.3966987133026,136.94588220119476,0.10731857270002365,257.0017091035843,159.51468563079834,0.11769559234380722,250.70621287822723,175.31857120990753,0.10785815119743347,203.13130640983582,136.02286541461945,0.04594319686293602,224.7189416885376,139.21607226133347,0.11174289882183075,225.74790382385254,157.8408797979355,0.1174112856388092,220.46225214004517,171.70929050445557,0.10033272951841354,169.6030398607254,137.64819967746735,0.04987895488739014,189.59267419576645,145.9649337530136,0.1090967208147049,189.49067336320877,161.22871100902557,0.1352720856666565,184.55590212345123,171.88028407096863,0.14226345717906952
A,246.9100799560547,242.04805755615234,-1.1510849162732484e-06,167.5202407836914,249.27273559570312,-0.003651279956102371,105.2226676940918,227.02244567871094,-0.011329633183777332,70.75605583190918,190.54698944091797,-0.013688542880117893,85.10702133178711,162.5097198486328,-0.009346980601549149,121.51826477050781,168.62996292114258,-0.04459039494395256,97.37132263183594,151.8321533203125,-0.024379337206482887,109.22724151611328,172.32669067382812,-0.0008633789257146418,119.23694229125977,188.26187896728516,0.009031281806528568,160.52396392822266,144.3892936706543,-0.04461228474974632,139.41882705688477,143.0288200378418,-0.01442569401115179,145.66029739379883,159.71677780151367,0.006931565701961517,155.72212600708008,172.97550201416016,0.009304317645728588,200.5323944091797,133.80455017089844,-0.036825671792030334,183.68341827392578,140.3129653930664,-0.005232281517237425,186.23865509033203,154.4494400024414,0.018727075308561325,196.09327697753906,167.94153213500977,0.021184297278523445,239.9311065673828,130.93589401245117,-0.02823845110833645,227.6400604248047,136.65851211547852,0.001989741111174226,228.10208129882812,151.47901153564453,0.030290713533759117,232.74838256835938,161.97746658325195,0.044470421969890594
A,227.78373527526855,278.3843002319336,-6.152864671093994e-07,278.86940002441406,241.08224868774414,-0.08481916040182114,329.35778999328613,203.9937858581543,-0.13718383014202118,345.45666122436523,161.81561851501465,-0.17499224841594696,316.91276359558105,136.34202766418457,-0.19821466505527496,252.2294521331787,135.5636339187622,-0.1277623176574707,290.3323745727539,134.1382999420166,-0.19238117337226868,291.9915180206299,183.4730281829834,-0.2154332548379898,275.6647758483887,186.94121646881104,-0.23006945848464966,207.01566696166992,142.61594200134277,-0.11466943472623825,247.77691841125488,152.10241508483887,-0.1892186999320984,260.0606994628906,202.98978996276855,-0.2103920429944992,248.18120956420898,198.07241439819336,-0.22663164138793945,175.16082191467285,164.4161491394043,-0.10365872085094452,213.01973152160645,173.4765977859497,-0.16678908467292786,227.7176055908203,213.65087699890137,-0.14602409303188324,215.47694396972656,211.05562782287598,-0.13192668557167053,147.40474033355713,186.57910251617432,-0.09909931570291519,175.7179775238037,199.08327865600586,-0.13238199055194855,193.46354484558105,221.91180610656738,-0.11502496898174286,185.40834426879883,220.59769248962402,-0.10244280844926834
A,138.68930053710938,325.87384128570557,-1.222024593516835e-06,194.96719455718994,302.51758766174316,-0.052534911781549454,232.9766812324524,256.1195788383484,-0.0639374703168869,231.63473463058472,209.0158143043518,-0.06891712546348572,241.55159854888916,179.44363927841187,-0.055928073823451996,193.0577254295349,213.8653383255005,-0.03127589076757431,193.21238613128662,184.3858678340912,-0.09837263077497482,192.08115100860596,230.88624048233032,-0.12135472893714905,189.00335597991943,234.7206425666809,-0.1331767439842224,152.06100797653198,218.37949895858765,-0.027108842507004738,153.7100236415863,192.57776403427124,-0.09942256659269333,162.298006772995,248.8221755027771,-0.1030588299036026,161.49786567687988,241.07349729537964,-0.09728038311004639,116.40678572654724,225.5000319480896,-0.034431181848049164,115.62356519699097,201.26352787017822,-0.11151518672704697,127.66325426101685,251.12079524993896,-0.07876268774271011,128.93727207183838,244.28959274291992,-0.046325188130140305,78.82881832122803,232.5948143005371,-0.04546269774436951,77.24923861026764,222.68456172943115,-0.08689697831869125,93.8258638381958,255.00515222549438,-0.062138091772794724,98.92991352081299,254.42741012573242,-0.03905465826392174
A,144.16968822479248,333.2086281776428,-1.3424690905594616e-06,200.680166721344,308.01425302028656,-0.04774034395813942,234.924870967865,256.82520711421967,-0.05298139527440071,229.34072029590607,209.71788477897644,-0.052403684705495834,236.54525935649872,180.26457405090332,-0.0343308262526989,190.18646162748337,220.47946274280548,-0.029171979054808617,186.91609472036362,186.2982011437416,-0.09274976700544357,191.24744391441345,232.82549822330475,-0.11475641280412674,190.34648317098618,238.01797890663147,-0.1253282129764557,150.4510622024536,229.28797471523285,-0.025289734825491905,149.62972474098206,199.41784238815308,-0.09324376285076141,163.5979921221733,254.11371791362762,-0.09640701860189438,162.64232486486435,249.46651756763458,-0.08986998349428177,116.32025647163391,238.75223684310913,-0.032323699444532394,112.56214559078217,209.70384120941162,-0.1035810187458992,129.40399032831192,259.0280513763428,-0.07144331932067871,130.8963544368744,255.66144609451294,-0.03904511407017708,80.57027766108513,248.10917603969574,-0.042999885976314545,76.23437252640724,231.74825310707092,-0.07890977710485458,95.86748239398003,262.15340316295624,-0.05240320414304733,102.36193466186523,265.092759847641,-0.02807116135954857
A,191.6202585697174,245.68976211547852,-1.7536965515319025e-06,136.11760890483856,208.65919411182404,-0.059145644307136536,107.66929006576538,166.4278528690338,-0.09492581337690353,116.73755711317062,129.5652614235878,-0.1285954713821411,139.79529404640198,103.06212937831879,-0.15183354914188385,169.4666503071785,122.39458537101746,-0.054457858204841614,164.46386432647705,111.34447431564331,-0.12183430045843124,154.50146090984344,153.0318603515625,-0.15022803843021393,160.32308614253998,159.10066831111908,-0.16654400527477264,207.621932387352,135.7179844379425,-0.059491705149412155,197.52628326416016,122.6871896982193,-0.13742615282535553,182.59361672401428,167.57616770267487,-0.1440020352602005,194.67767751216888,169.42072176933289,-0.13731800019741058,241.1042983531952,153.68659830093384,-0.07434629648923874,232.57929933071136,140.55678176879883,-0.14736343920230865,211.0381954908371,180.08179771900177,-0.1109238788485527,219.732759475708,179.46013462543488,-0.07318638265132904,272.45561170578003,173.43519365787506,-0.0951647087931633,259.23022055625916,161.29166346788406,-0.1224810853600502,236.500629901886,187.9459079504013,-0.08464831858873367,240.17707586288452,191.0510015487671,-0.05224896967411041
A,197.63066053390503,266.99200987815857,-1.6397854096794617e-06,141.8187403678894,236.77103996276855,-0.06899318844079971,110.4340934753418,193.07601928710938,-0.10455276072025299,117.26896584033966,152.7878177165985,-0.13357311487197876,139.2490792274475,124.34471845626831,-0.1475432813167572,167.0209527015686,153.90909433364868,-0.06673797965049744,165.485377907753,137.8061079978943,-0.12798060476779938,159.035325050354,177.8734403848648,-0.14395609498023987,162.11054027080536,180.10436296463013,-0.15371213853359222,206.9928503036499,162.73415625095367,-0.06352393329143524,197.93541312217712,148.453728556633,-0.1416683793067932,185.38443088531494,192.26576924324036,-0.14653116464614868,192.3931062221527,190.44042468070984,-0.13999919593334198,242.3228371143341,175.93888998031616,-0.06986792385578156,233.08696508407593,159.33151602745056,-0.14462785422801971,215.62807321548462,199.6810531616211,-0.10633736103773117,222.98317670822144,197.30534195899963,-0.06948589533567429,274.3678832054138,192.2409451007843,-0.08261246234178543,264.243528842926,178.00582826137543,-0.1168915256857872,245.23743152618408,205.15094876289368,-0.08521448820829391,248.56409311294556,206.89878582954407,-0.057898618280887604
