class_type,wristX,wristY,wristZ,thumb_CmcX,thumb_CmcY,thumb_CmcZ,thumb_McpX,thumb_McpY,thumb_McpZ,thumb_IpX,thumb_IpY,thumb_IpZ,thumb_TipX,thumb_TipY,thumb_TipZ,index_McpX,index_McpY,index_McpZ,index_PipX,index_PipY,index_PipZ,index_DipX,index_DipY,index_DipZ,index_TipX,index_TipY,index_TipZ,middle_McpX,middle_McpY,middle_McpZ,middle_PipX,middle_PipY,middle_PipZ,middle_DipX,middle_DipY,middle_DipZ,middle_TipX,middle_TipY,middle_TipZ,ring_McpX,ring_McpY,ring_McpZ,ring_PipX,ring_PipY,ring_PipZ,ring_DipX,ring_DipY,ring_DipZ,ring_TipX,ring_TipY,ring_TipZ,pinky_McpX,pinky_McpY,pinky_McpZ,pinky_PipX,pinky_PipY,pinky_PipZ,pinky_DipX,pinky_DipY,pinky_DipZ,pinky_TipX,pinky_TipY,pinky_TipZ
W,1508.9513404369354,2490.256862640381,3.048042458431155e-07,1348.7051911354065,2373.851628303528,-0.04688124358654022,1274.4689576625824,2157.7125492095947,-0.05954104661941528,1416.2889676094055,2036.4306812286377,-0.06810910999774933,1578.006352186203,2036.4721374511719,-0.07926257699728012,1360.6979005336761,1841.7433547973633,-0.02625841647386551,1292.01610994339,1594.2424898147583,-0.04896135628223419,1251.9316277503967,1438.0136404037476,-0.07258118689060211,1220.6728298664093,1295.701644897461,-0.09425321966409683,1500.5789108276367,1822.4582271575928,-0.03840804472565651,1478.8871726989746,1525.7884397506714,-0.0625750720500946,1472.0133855342865,1344.4225330352783,-0.08719121664762497,1468.8023707866669,1191.7484011650085,-0.10350266844034195,1624.2523806095123,1872.6291618347168,-0.0581795834004879,1661.6929922103882,1595.56156539917,-0.10175838321447372,1664.314292192459,1431.5223636627197,-0.13813848793506622,1670.8944311141968,1280.8327565193176,-0.16048023104667664,1746.0295736789703,1988.0868911743164,-0.08178301155567169,1762.872661113739,1793.2145471572876,-0.12327037751674652,1712.8045992851257,1872.9439220428467,-0.12551547586917877,1674.355910539627,1990.9535121917725,-0.12474213540554047
W,1714.352795600891,2170.704803466797,3.755091881885164e-07,1651.1790132522583,2127.613540649414,-0.060997962951660156,1663.0140771865845,2041.310302734375,-0.07941505312919617,1766.163480758667,1978.1507263183594,-0.08597914129495621,1848.308017730713,1923.120620727539,-0.09148629754781723,1635.8689498901367,1864.451431274414,-0.04187804087996483,1590.4275960922241,1738.1226654052734,-0.06051214784383774,1563.9662561416626,1650.2799682617188,-0.07826090604066849,1542.1598958969116,1573.5264587402344,-0.0920741856098175,1717.7368516921997,1851.9834594726562,-0.026074741035699844,1725.2533121109009,1708.6451110839844,-0.038313932716846466,1736.602710723877,1607.9496459960938,-0.055386729538440704,1741.705177307129,1518.4117584228516,-0.06822893768548965,1779.2906503677368,1876.0207214355469,-0.01741838827729225,1823.1066932678223,1756.4287719726562,-0.04394156485795975,1844.7433433532715,1667.0201110839844,-0.07471104711294174,1858.034008026123,1577.5333099365234,-0.09542085230350494,1828.248987197876,1925.8775024414062,-0.012770255096256733,1841.328465461731,1878.018310546875,-0.04787411168217659,1820.1913061141968,1919.3792266845703,-0.06517436355352402,1798.7729454040527,1963.5850524902344,-0.07463895529508591
W,549.2924451828003,1054.4508867263794,7.976394158504263e-07,500.60033798217773,1038.9061741828918,-0.054983388632535934,467.93702244758606,975.76633477211,-0.07784842699766159,521.4124023914337,942.6390018463135,-0.08867693692445755,585.177943110466,928.0275286436081,-0.10378046333789825,489.04716968536377,849.5776183605194,-0.07492741197347641,463.0138725042343,770.7559071779251,-0.10392002761363983,444.04157996177673,716.6929076910019,-0.12755338847637177,425.60291290283203,666.0151569843292,-0.15016740560531616,546.8637049198151,834.7939208745956,-0.07821999490261078,544.5813685655594,739.5192247629166,-0.1084517240524292,541.8293327093124,673.3199791908264,-0.13905967772006989,537.8735661506653,613.3426737785339,-0.16168147325515747,595.2433794736862,850.5101420879364,-0.08506399393081665,618.2742118835449,769.1323394775391,-0.1403338760137558,628.1149238348007,702.6027190685272,-0.1917061060667038,636.9336247444153,642.7570865154266,-0.22643329203128815,634.8965764045715,889.7949304580688,-0.09278896450996399,622.7278411388397,879.1753871440887,-0.16337481141090393,601.9156873226166,927.0423675775528,-0.19038644433021545,587.4362289905548,968.8426959514618,-0.20538628101348877
W,1401.897439956665,2631.911853790283,6.366262255141919e-07,1207.2965190410614,2547.562413215637,-0.06267677992582321,1086.8195543289185,2275.167854309082,-0.08157867193222046,1291.532223701477,2074.7601833343506,-0.0917247012257576,1544.549568414688,2000.4293298721313,-0.10431145876646042,1189.77907705307,1800.3718872070312,-0.036138832569122314,1119.1015148162842,1453.2996244430542,-0.059988733381032944,1106.9246706962585,1237.1416597366333,-0.08310780674219131,1090.8663725852966,1040.1041493415833,-0.10871510207653046,1389.6511566638947,1771.5280294418335,-0.04868567734956741,1358.2935547828674,1380.465033531189,-0.08623605966567993,1362.505967617035,1121.3429145812988,-0.12279240041971207,1363.468903541565,900.317144870758,-0.14690397679805756,1563.4545271396637,1841.4973812103271,-0.07008623331785202,1646.3974885940552,1496.6356563568115,-0.14157675206661224,1698.7621099948883,1259.672963142395,-0.19771131873130798,1749.7129590511322,1042.8219118118286,-0.23054374754428864,1720.1838068962097,2001.7342796325684,-0.09332441538572311,1682.993084192276,1783.3115768432617,-0.17252656817436218,1591.4764001369476,1911.2990655899048,-0.18789167702198029,1533.7750961780548,2061.146420478821,-0.19185686111450195
W,1705.4980602264404,2170.624740600586,2.2525877341195155e-07,1638.541314125061,2128.447540283203,-0.053090114146471024,1643.6368045806885,2034.5902404785156,-0.06518758833408356,1746.1224613189697,1972.3032531738281,-0.06613732129335403,1831.1324110031128,1930.2760162353516,-0.06514676660299301,1622.3546686172485,1860.5089874267578,-0.03331930935382843,1572.948971748352,1731.1727142333984,-0.05010049045085907,1545.3788080215454,1649.0175018310547,-0.0655575692653656,1523.478967666626,1577.7247467041016,-0.07687840610742569,1703.6023292541504,1848.7784729003906,-0.021143639460206032,1712.2145490646362,1701.152847290039,-0.03271842375397682,1723.7852811813354,1602.8941497802734,-0.04711384326219559,1733.1443271636963,1517.8186340332031,-0.05707177147269249,1764.7931156158447,1871.5748291015625,-0.015881400555372238,1811.5594263076782,1755.416244506836,-0.0419686958193779,1834.221947669983,1670.04931640625,-0.06999241560697556,1852.15376663208,1582.8888702392578,-0.08713939040899277,1816.0420322418213,1925.6349792480469,-0.014113938435912132,1831.194435119629,1865.5283660888672,-0.0446820929646492,1811.7066860198975,1904.4696807861328,-0.05681179463863373,1790.2764024734497,1951.1415252685547,-0.062157001346349716
W,1453.6205263137817,2529.7480602264404,4.0011676105677907e-07,1303.1494088172913,2425.19393157959,-0.046515315771102905,1236.8273985385895,2205.0202407836914,-0.0594472736120224,1377.8584735393524,2086.490298271179,-0.0684371218085289,1535.0469961166382,2084.040389060974,-0.08034210652112961,1313.7138361930847,1885.0253400802612,-0.02724672108888626,1249.6614389419556,1635.1146402359009,-0.049948304891586304,1216.3135929107666,1476.2599229812622,-0.07401170581579208,1188.0959544181824,1333.8588733673096,-0.09553508460521698,1448.9809992313385,1869.6642742156982,-0.0388081893324852,1434.8595128059387,1567.3198976516724,-0.06008565425872803,1437.5781197547913,1381.2969217300415,-0.08361057192087173,1441.568281173706,1229.0069508552551,-0.09951584041118622,1569.4876742362976,1921.704577445984,-0.057612787932157516,1611.9898602962494,1646.0114850997925,-0.09613185375928879,1622.033551454544,1479.9464559555054,-0.12942670285701752,1634.8769195079803,1333.8518104553223,-0.1508813500404358,1686.865210533142,2035.0982475280762,-0.08060033619403839,1708.2442996501923,1852.7146673202515,-0.11963223665952682,1662.6392304897308,1929.8025131225586,-0.12058338522911072,1627.323941230774,2042.8203134536743,-0.11893915385007858
W,1435.745524406433,2533.1855487823486,3.852446752716787e-07,1282.6889204978943,2429.166358947754,-0.050494708120822906,1209.9392380714417,2211.4815769195557,-0.06500783562660217,1356.7739539146423,2085.9968156814575,-0.0743078738451004,1527.2550687789917,2083.2432012557983,-0.08584881573915482,1290.5201160907745,1895.5251264572144,-0.03172694519162178,1230.747843503952,1643.2623233795166,-0.05426177754998207,1202.1868093013763,1484.8863487243652,-0.07699748873710632,1183.2591648101807,1341.989052772522,-0.0977061316370964,1430.1953423023224,1878.2395706176758,-0.04026009514927864,1413.7639381885529,1576.8156757354736,-0.0625980943441391,1416.4900302886963,1394.447603225708,-0.08476925641298294,1422.6006774902344,1243.3445854187012,-0.09927728772163391,1555.0598723888397,1929.2875347137451,-0.056245822459459305,1595.1873078346252,1657.0677061080933,-0.09635946154594421,1600.744168996811,1494.3279266357422,-0.12915435433387756,1609.5321972370148,1349.2692260742188,-0.14941899478435516,1678.3273015022278,2042.488510131836,-0.07660307735204697,1700.7387657165527,1858.048701286316,-0.11595801264047623,1655.8895816802979,1935.4734172821045,-0.11724520474672318,1622.786903142929,2049.495993614197,-0.1155664399266243
W,627.4166107177734,1045.8338681459427,7.220167503874109e-07,580.4471522569656,1047.158150434494,-0.06369807571172714,550.6808906793594,991.1189448833466,-0.0908450335264206,596.4206904172897,949.4036154747009,-0.10486645251512527,648.2382863759995,918.686945438385,-0.1234235018491745,538.9445275068283,870.6529885530472,-0.07854842394590378,503.95113229751587,792.8899080753326,-0.11826705932617188,479.5861691236496,737.4340069293976,-0.15093746781349182,458.2507163286209,686.4774850606918,-0.17765092849731445,592.6453471183777,848.3580541610718,-0.077800452709198,573.5201686620712,757.601661324501,-0.11388646811246872,559.0240359306335,695.3732748031616,-0.14882506430149078,546.4077740907669,636.5003595948219,-0.17205281555652618,641.0585045814514,855.7151161432266,-0.08161135762929916,643.787294626236,774.6598961353302,-0.14023847877979279,635.4433000087738,715.9091520309448,-0.19005917012691498,631.042867898941,658.5777872800827,-0.22191643714904785,688.0990415811539,888.0648158788681,-0.08716391772031784,677.577942609787,881.8106731176376,-0.15889078378677368,663.1227135658264,928.1121300458908,-0.18314768373966217,656.640037894249,966.1848284006119,-0.19342611730098724
W,1684.5346698760986,2165.971206665039,2.2586502268495678e-07,1619.3426303863525,2125.4771118164062,-0.048180315643548965,1618.1687383651733,2033.9984893798828,-0.0600329227745533,1719.3875303268433,1964.4382781982422,-0.06212713196873665,1806.0503149032593,1927.4573364257812,-0.06253611296415329,1601.4012985229492,1854.9613037109375,-0.029551267623901367,1555.649824142456,1721.9528503417969,-0.044269584119319916,1529.7558336257935,1638.8709411621094,-0.05844356119632721,1508.2932062149048,1564.4523010253906,-0.0695609524846077,1682.0731115341187,1842.3436431884766,-0.020997662097215652,1688.909462928772,1692.586669921875,-0.03269333764910698,1700.8954648971558,1594.7839050292969,-0.04776711016893387,1712.466323852539,1507.7568054199219,-0.058227431029081345,1742.7178573608398,1864.9410095214844,-0.018603019416332245,1784.5106964111328,1740.145248413086,-0.044624652713537216,1806.1264181137085,1655.1230163574219,-0.07152688503265381,1822.1772193908691,1566.6591796875,-0.08779701590538025,1796.2836093902588,1921.017837524414,-0.019274037331342697,1815.6585988998413,1841.4315032958984,-0.04825424775481224,1802.9121990203857,1880.456039428711,-0.057979606091976166,1785.0703086853027,1928.758804321289,-0.06176382303237915
W,1422.580870628357,2125.409707069397,4.0034382209341857e-07,1301.4776866436005,2041.2718467712402,-0.030422233045101166,1252.9726395606995,1884.5142002105713,-0.03329382464289665,1370.457501411438,1777.5830945968628,-0.031318195164203644,1495.4141564369202,1714.592053413391,-0.028585700318217278,1301.3694398403168,1650.6441411972046,-0.012199885211884975,1267.8817942142487,1458.661756515503,-0.024361683055758476,1262.61443567276,1339.5607929229736,-0.03533221781253815,1259.6807169914246,1229.8037548065186,-0.046040602028369904,1412.7309873104095,1633.3616561889648,-0.021537624299526215,1398.50758767128,1416.967544555664,-0.038922637701034546,1399.7777602672577,1277.864260673523,-0.05582907050848007,1401.925307750702,1162.735110282898,-0.06655143201351166,1504.4500007629395,1670.1095266342163,-0.03688467666506767,1567.9916803836823,1477.6299743652344,-0.07632149010896683,1603.4430842399597,1356.7124605178833,-0.10640076547861099,1627.7374670505524,1244.7225441932678,-0.1219082623720169,1590.121933221817,1762.1437225341797,-0.05326231196522713,1579.8874282836914,1619.4931678771973,-0.09004659205675125,1537.6486043930054,1685.631350517273,-0.09341905266046524,1498.0400626659393,1775.853295326233,-0.09260444343090057
